Title,Score,Release_Date,Episodes,Genres,Studios,Era_Category
Ojarumaru,6.35,1998-10-05,0,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy', 'Kids']",['Gallop'],Recent/Airing
Koala Enikki,6.34,2025-10-02,0,"['Anthropomorphic', 'Slice of Life']",['studio MOTHER'],Recent/Airing
Liar Game,6.33,2026-04-07,0,"['Drama', 'High Stakes Game', 'Psychological', 'Seinen', 'Strategy Game', 'Suspense']",['Madhouse'],Recent/Airing
Kujima Utaeba Ie Hororo,6.29,2026-04-09,12,"['Iyashikei', 'Shounen', 'Slice of Life', 'Supernatural']",['Studio Hibari'],Recent/Airing
Rilakkuma,6.26,2026-04-04,0,"['Anthropomorphic', 'Iyashikei', 'Slice of Life']",['Production I.G'],Recent/Airing
Ugoku! Neko Mukashibanashi,6.19,2025-10-15,0,"['Anthropomorphic', 'Comedy']",['Studio Comet'],Recent/Airing
6HP (Six Hearts Princess),6.16,2016-12-30,0,['Mahou Shoujo'],['Poncotan'],Recent/Airing
Sazae-san,6.16,1969-10-05,0,['Comedy'],['Eiken'],Recent/Airing
Fushigi Dagashiya: Zenitendou,6.15,2020-09-08,0,"['Kids', 'Mystery']","['Toei Animation', 'Gallop', 'Kanaban Graphics']",Recent/Airing
Puzzle & Dragon,6.1,2018-04-02,0,"['Kids', 'Strategy Game']",['Studio Pierrot'],Recent/Airing
Hidarikiki no Eren,6.09,2026-04-08,13,"['Adult Cast', 'Drama', 'Shounen', 'Visual Arts']","['Production I.G', 'Signal.MD']",Recent/Airing
Hanakappa,6.03,2010-03-29,0,"['Comedy', 'Kids']","['Xebec', 'OLM']",Recent/Airing
Reincarnation no Kaben,5.97,2026-04-03,13,"['Action', 'Mystery', 'Reincarnation', 'Shounen', 'Supernatural']",['BENTEN Film'],Recent/Airing
Kami no Shizuku,5.95,2026-04-10,24,"['Adult Cast', 'Drama', 'Gourmet', 'Mystery', 'Seinen']",['Satelight'],Recent/Airing
Onegai AiPri,5.91,2026-04-05,0,"['Idols (Female)', 'Music']","['OLM', 'Dongwoo A&E']",Recent/Airing
Magical Suite Prism Nana,5.9,2015-11-29,7,['Mahou Shoujo'],['Shaft'],Recent/Airing
Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,5.82,2012-11-16,0,"['Anthropomorphic', 'Comedy']",[],Recent/Airing
"Saikyou no Ousama, Nidome no Jinsei wa Nani wo Suru? Season 2",5.82,2026-04-01,12,"['Fantasy', 'Isekai', 'Reincarnation']",['Studio A-CAT'],Recent/Airing
"Kanojo, Okarishimasu 5th Season",5.77,2026-04-11,12,"['Adult Cast', 'Comedy', 'Harem', 'Romance', 'Shounen']",['TMS Entertainment'],Recent/Airing
Ponkotsu Quest: Maou to Haken no Mamono-tachi,5.71,2013-08-22,0,"['Comedy', 'Fantasy', 'Parody']",['Pie in the sky'],Recent/Airing
Ninjala (TV),5.58,2022-01-08,0,['Action'],['OLM'],Recent/Airing
CoroCoro Monster Ball,5.49,2019-02-22,0,"['Fantasy', 'Kids']",[],Recent/Airing
Pokemon de Manabi Asobu,5.4,2019-06-12,0,"['Comedy', 'Educational', 'Kids']",[],Recent/Airing
Ghost Concert: Missing Songs,5.35,2026-04-06,12,"['Action', 'Music', 'Sci-Fi', 'Supernatural']",['ENGI'],Recent/Airing
Kirin the Noop,5.31,2014-02-06,0,['Adventure'],[],Recent/Airing
